ID,name,country,teams,total_maps,total_rounds,kd_diff,kd,rating
32,nettik,New Zealand,"['Rooster', 'Jade']",240,6182,798,1.2,1.15
33,KSCERATO,Brazil,['FURIA'],806,20993,3430,1.28,1.15
34,vsm,Brazil,['DETONA'],448,11827,1496,1.19,1.15
35,XELLOW,Romania,['Nexus'],915,23961,2878,1.18,1.14
36,Benkai,Singapore,"['BOOT-d[S]', 'BOOT', 'dream[S]cape']",603,15560,2046,1.2,1.14
37,ju1ces,Australia,"['Rooster', 'madlikewizards', 'seadoggs']",222,5737,734,1.2,1.14
38,dizzyLife,Australia,"['Legacy', 'Chiefs']",345,8772,1208,1.22,1.14
39,Jame,Russia,"['Virtus.pro', 'AVANGAR']",1065,28226,4765,1.3,1.14
40,El1an,Russia,"['Entropiq', 'Winstrike', 'EPG']",1046,27968,3977,1.23,1.14
41,sk0R,Mongolia,"['NKT', 'D13', '2990']",211,5723,663,1.17,1.13
42,Texta,Australia,"['Chiefs', 'Athletico', 'Dark Sided']",625,15713,1750,1.16,1.13
43,zAAz,Sweden,"['Secret fe', 'Besiktas', 'Bad Monkey']",227,5502,606,1.16,1.13
44,oskar,Czech Republic,"['Sinners', 'mousesports', 'HellRaisers']",1347,35564,4509,1.2,1.13
45,mhL,Poland,['AGO'],357,9572,1235,1.2,1.13
46,woxic,Turkey,"['HellRaisers', 'mousesports', 'DarkPassage']",917,23999,3065,1.21,1.13
47,dav1d,Chile,"['Paquetá', 'Real Betis SA', 'Rysix']",227,5942,633,1.16,1.13
48,zevy,Brazil,"['Sharks', 'DETONA']",133,3506,455,1.21,1.13
49,SunPayus,Spain,"['Movistar Riders', 'Iberian Family', 'Caronte', 'Wygers', 'KPI']",157,4244,554,1.21,1.13
50,keiz,Brazil,['Santos'],133,3587,573,1.28,1.13
51,fredi,Czech Republic,['eSuba'],231,5987,661,1.17,1.13
52,mantuu,Poland,"['OG', 'ALTERNATE aTTaX', 'PANTHERS']",622,16657,2151,1.21,1.13
53,kennyS,France,"['G2', 'Envy', 'Titan']",1843,48634,6344,1.21,1.13
54,frozen,Slovakia,"['mousesports', 'eXtatus']",1080,28215,3189,1.17,1.13
55,huNter-,Bosnia and Herzegovina,"['G2', 'Valiance', 'Binary Dragons']",1330,34977,3844,1.16,1.13
56,Petra,Netherlands,"['XSET', 'Besiktas', 'expert fe', 'Singularity fe']",102,2487,262,1.16,1.13
57,erkaSt,Mongolia,"['Grayhound', 'TIGER', 'Immunity']",830,21491,2460,1.17,1.12
58,yuurih,Brazil,['FURIA'],898,23462,2802,1.19,1.12
59,dream3r,Bulgaria,"['Fiend', 'E-frag.net', 'MK', 'GPlay']",1006,26099,3512,1.22,1.12
60,xsepower,Russia,['forZe'],1061,28504,4168,1.25,1.12
61,mattcd,Australia,['Legacy'],234,5998,776,1.21,1.12
62,prelideN,Latvia,"['Latvia', 'Wolsung', 'HEY']",106,2768,184,1.09,1.12
63,Freeman,Hong Kong,"['ViCi', 'TYLOO', 'VG.Flash']",728,18573,2146,1.18,1.12
64,kNgV-,Brazil,"['MIBR', 'MIBR', 'INTZ', 'g3x']",795,20744,2373,1.17,1.12
65,deoxiDE,Australia,['Legacy'],136,3439,412,1.19,1.12
66,GooseBreeder,Canada,"['CLG Red', 'Dignitas fe', 'Those Damn Canadians']",156,3830,454,1.18,1.12
67,Calyx,Turkey,"['Space Soldiers', 'DarkPassage']",856,22293,2696,1.19,1.12
68,jOELZ,Finland,['nerdRage'],247,6433,720,1.17,1.12
69,liTTle,Russia,"['forZe', 'RuSh3D', 'Spartak', 'Enso']",458,12159,1550,1.2,1.12
70,NEOFRAG,Czech Republic,['Sinners'],440,11805,1102,1.14,1.12
71,asap,Australia,"['Rooster', 'madlikewizards']",189,4896,510,1.15,1.12
72,cath,Canada,"['Dignitas fe', 'CLG Red', 'Those Damn Canadians']",160,3977,405,1.15,1.12
73,f0rsakeN,Indonesia,"['BOOM', 'Aerowolf', 'Paper Rex']",104,2684,236,1.13,1.12
74,Jamppi,Finland,"['SJ', 'ENCE']",503,13449,1408,1.16,1.12
75,INS,Australia,"['Renegades', 'Chiefs', 'ORDER', 'Tainted Minds']",868,22077,2384,1.17,1.12
76,ropz,Estonia,['mousesports'],1001,26414,3251,1.2,1.12
77,wrath,United States,"['New Identity', 'Secret Club', 'BlackOut']",525,13568,1239,1.13,1.12
78,chelleos,New Zealand,"['Rooster', 'madlikewizards']",474,12189,1119,1.13,1.12
79,GuardiaN,Slovakia,"['Natus Vincere', 'FaZe']",1519,39782,4753,1.19,1.11
80,Twistzz,Canada,"['Liquid', 'TSM']",1227,32124,3594,1.18,1.11
81,f0rest,Sweden,"['Dignitas', 'NIP', 'NIP']",1929,49895,5571,1.17,1.11
82,CigaretteS,Thailand,"['Signature', 'MiTH', '7642']",205,5361,539,1.15,1.11
83,Luken,Argentina,"['Sharks', 'Furious', 'Furious', '9z']",239,6097,667,1.17,1.11
84,hades,Poland,"['ENCE', 'Wisla Krakow']",424,11431,1413,1.2,1.11
85,dexter,Australia,"['mousesports', 'Grayhound', 'Renegades']",868,22253,2293,1.16,1.11
86,PTC,Thailand,"['Lucid Dream', '5POWER']",476,12393,1408,1.18,1.11
87,Brehze,United States,"['Evil Geniuses', 'Evil Geniuses', 'NRG']",1091,28547,2793,1.15,1.11
88,CeRq,Bulgaria,"['Evil Geniuses', 'Evil Geniuses', 'NRG', 'Outlaws']",1130,29452,3399,1.19,1.11
89,FpSSS,Russia,"['GROND', 'No Org']",102,2720,322,1.19,1.11
90,ZELIN,Portugal,"['AlienTech', 'Giants', 'k1ck']",322,8462,856,1.15,1.11
91,splashske,Singapore,"['HZ', 'BOOT-d[S]', 'BOOT', 'dream[S]cape']",722,18651,1811,1.15,1.11
92,poizon,Bulgaria,"['Complexity', 'Complexity', 'Windigo', 'Bpro']",1041,27621,2906,1.17,1.11
93,jeyN,France,"['Heretics', 'Heretics']",122,3354,345,1.16,1.11
94,m1tch,Australia,"['Corvidae', 'TRIDENT']",110,2958,285,1.14,1.11
95,FREDDyFROG,Sweden,"['Apeks', 'Apeks', 'Chaos', 'Red Reserve', 'Japaleno', 'Galaxy Racer']",1171,31220,3578,1.18,1.11
96,ottoNd,Finland,"['HAVU', 'Valiance', 'CR4ZY', 'c0ntact']",820,21635,2505,1.19,1.11
97,gxx-,Albania,"['BLINK', 'BLINK']",145,3818,467,1.2,1.11
98,zorte,Russia,"['forZe', 'Unique', 'ex-ETHEREAL']",518,13789,1650,1.19,1.11
99,havoK,India,"['NASR', 'Risky', 'Divine Vendetta']",237,6247,581,1.14,1.11
100,saveeey,Slovenia,"['KlikTech', 'Overpowered']",141,3553,312,1.13,1.11
101,Nivera,Belgium,"['Heretics', 'Heretics', 'Vitality']",192,5130,566,1.18,1.11
102,crazyguy,Vietnam,"['Recca', 'GameTV', 'Sabertooth']",184,4594,411,1.13,1.11
103,Infinite,United States,"['Party Astronauts', 'Lazarus']",669,17474,1649,1.14,1.11
104,DeathMakeR,India,"['Entity', 'Global', 'Signify', 'JMD']",105,2717,244,1.13,1.11
105,wippie,Russia,"[""Ben's Anime Team"", 'Chaos', 'blitz']",116,3030,359,1.19,1.11
106,TenZ,Canada,"['Bad News Bears', 'ATK']",401,10399,839,1.12,1.1
107,xeta,Korea,"['MVP PK', 'm0nster']",351,8823,918,1.16,1.1
108,ekul,Australia,"['Paradox', 'SYF']",428,11069,977,1.13,1.1
109,HEN1,Brazil,"['Immortals', 'FURIA', 'Luminosity']",1020,26519,3406,1.22,1.1
110,Olivia,Thailand,"['Beyond', 'Alpha Red', 'Signature']",634,16189,1565,1.15,1.1
111,zEptonL,Denmark,"['Singularity', 'KoN Denmark', 'Optimum']",117,3082,261,1.12,1.1
